artist,track,track_id,danceability,energy,key,loudness,tempo,popularity
Kamelot,Overture (Intro),1vmryviGl0TPHEHDBYeFiS,0.338,0.503,4.0,-15.131,77.941,7
Kamelot,The Great Divide,7I2DgYz7wKfX1Vyn1UhqXY,0.382,0.913,0.0,-5.061,158.018,9
Kamelot,Eventide,31lFH2QUJiUg9ozkJpmWMa,0.371,0.946,5.0,-6.043,163.923,8
Kamelot,One More Flag in the Ground,3a9hE9MKm3QqwCRLZXvQuK,0.445,0.959,1.0,-5.877,108.977,7
Kamelot,Opus Of The Night (Ghost Requiem),5wOvcQQPeoLaYEWeDCzpNK,0.391,0.95,0.0,-6.254,160.004,7
Kamelot,Midsummer's Eve,5vI5ThRHWfivDrWWmrEcFm,0.301,0.449,3.0,-10.501,138.435,6
Kamelot,Bloodmoon,5DkJKXlJQ2tkWyO9J9S3fr,0.482,0.953,5.0,-5.888,109.994,6
Kamelot,NightSky,7gsqhbbJMdRkd415rff6ks,0.513,0.949,1.0,-6.532,128.015,6
Kamelot,The Looking Glass,7IS54VRdfwlh99y1axKxnw,0.47,0.953,5.0,-6.244,127.052,6
Kamelot,New Babylon,1MpaEhIxd3zygwaNOohgAS,0.451,0.93,7.0,-5.238,102.018,6
Kamelot,Willow,5OnhtJU4bh68TaF2m10j5I,0.27,0.418,1.0,-9.911,110.021,5
Kamelot,My Pantheon (Forevermore),0Z1xgbf2b6FZDA1jaRkNzH,0.472,0.935,1.0,-6.406,99.974,5
Kamelot,Ephemera (Outro),72SOGx1xawwOIUMK4YgXOe,0.285,0.316,5.0,-15.168,113.36,4
Kamelot,Call Of The Void,46s5z6hT72VnaOYFqDZxgB,0.392,0.956,5.0,-5.002,170.045,6
Kamelot,Overture (Intro),4T90B8q9DGHKUvillUb935,0.326,0.493,4.0,-15.435,77.988,29
Kamelot,The Great Divide,1T1VV50B7EhJiLBaElszYI,0.376,0.906,0.0,-5.347,158.081,33
Kamelot,Eventide,0edie3hFUBhKXcpERqOAST,0.366,0.945,5.0,-6.403,163.928,33
Kamelot,One More Flag In The Ground,7Jf24wNwrY2PxFaMj1LoiM,0.447,0.953,1.0,-6.168,109.015,32
Kamelot,Opus Of The Night (Ghost Requiem),6Fst2RgHVCudcEMUqrsZJf,0.398,0.943,0.0,-6.542,159.988,32
